run_name,note,seed,split_seed,epochs_requested,epochs_ran,hidden_dims,dropout,weight_decay,optimizer,lr,batch_size,noise_std,scheduler,early_stopping_patience,grad_clip_norm,fit_fraction,best_epoch,best_val_acc,best_val_loss,final_train_acc,final_val_acc,final_train_loss,final_val_loss,generalization_gap_acc,stopped_early,failure_reason,fit_windows,val_windows,fit_subjects,val_subjects
overfit_bad,Intentional overfitting: oversized MLP + long training + reduced fit subset.,123,42,60,60,"[1024, 512, 256]",0.0,0.0,adam,0.001,256,0.0,none,,,0.25,8,0.8672680258750916,0.42314857244491577,0.9593103528022766,0.8672680258750916,0.08292810618877411,0.42314857244491577,0.09204232692718506,False,,1450,1552,17,4
overfit_fixed,Overfitting fix: weight decay + early stopping only.,123,42,60,20,"[1024, 512, 256]",0.0,0.0001,adam,0.001,256,0.0,none,12.0,,0.25,8,0.873711347579956,0.43768104910850525,0.9613792896270752,0.873711347579956,0.08168494701385498,0.43768104910850525,0.08766794204711914,True,,1450,1552,17,4
overfit_bad,Intentional overfitting: oversized MLP + long training + reduced fit subset.,123,42,120,120,"[1024, 512, 256]",0.0,0.0,adam,0.001,256,0.0,none,,,0.1,17,0.8247422575950623,0.7361396551132202,1.0,0.7371134161949158,6.730850145686418e-05,2.2939977645874023,0.26288658380508423,False,,580,1552,17,4
overfit_fixed,Overfitting fix: weight decay + early stopping only (same harder setting).,123,42,120,29,"[1024, 512, 256]",0.0,0.0001,adam,0.001,256,0.0,none,12.0,,0.1,17,0.8311855792999268,0.7146754860877991,0.9620689749717712,0.8311855792999268,0.059166066348552704,0.7146754860877991,0.13088339567184448,True,,580,1552,17,4
overfit_bad,Intentional overfitting: oversized MLP + long training + reduced fit subset.,123,42,120,120,"[1024, 512, 256]",0.0,0.0,adam,0.001,256,0.0,none,,,0.1,17,0.8247422575950623,0.7361396551132202,1.0,0.7371134161949158,6.730850145686418e-05,2.2939977645874023,0.26288658380508423,False,,580,1552,17,4
overfit_fixed,Overfitting fix: weight decay + early stopping only (same harder setting).,123,42,120,32,"[1024, 512, 256]",0.0,0.0001,adam,0.001,256,0.0,none,15.0,,0.1,17,0.8311855792999268,0.7146754860877991,0.9620689749717712,0.8311855792999268,0.059166066348552704,0.7146754860877991,0.13088339567184448,True,,580,1552,17,4
overfit_bad,Intentional overfitting: oversized MLP + long training + reduced fit subset.,123,42,120,120,"[1024, 512, 256]",0.0,0.0,adam,0.001,256,0.0,none,,,0.1,17,0.8247422575950623,0.7361396551132202,1.0,0.7371134161949158,6.730850145686418e-05,2.2939977645874023,0.26288658380508423,False,,580,1552,17,4
overfit_fixed,Overfitting fix: weight decay + early stopping only (same harder setting).,123,42,120,29,"[1024, 512, 256]",0.0,0.0001,adam,0.001,256,0.0,none,12.0,,0.1,17,0.8311855792999268,0.7146754860877991,0.9620689749717712,0.8311855792999268,0.059166066348552704,0.7146754860877991,0.13088339567184448,True,,580,1552,17,4
underfit_bad,Intentional severe underfitting: tiny model + 3 epochs + very low LR.,314,42,3,3,[16],0.0,0.01,adam,1e-05,256,0.0,none,,,1.0,3,0.3685567080974579,1.642306923866272,0.37672412395477295,0.3685567080974579,1.657006025314331,1.642306923866272,0.008167415857315063,False,,5800,1552,17,4
underfit_fixed,Underfitting fix: larger MLP + higher LR only (two interventions).,314,42,3,3,"[256, 128]",0.0,0.01,adam,0.001,256,0.0,none,,,1.0,2,0.8936855792999268,0.30628225207328796,0.9291379451751709,0.8936855792999268,0.17866475880146027,0.30628225207328796,0.03545236587524414,False,,5800,1552,17,4
baseline_seed42_a,Baseline MLP,42,42,20,20,"[128, 64]",0.0,0.0,adam,0.001,256,0.0,none,,,1.0,3,0.8975515365600586,0.29951295256614685,0.9415517449378967,0.8975515365600586,0.14463703334331512,0.29951295256614685,0.044000208377838135,False,,5800,1552,17,4
baseline_seed42_b,Same config and same seed should closely match baseline_seed42_a.,42,42,20,20,"[128, 64]",0.0,0.0,adam,0.001,256,0.0,none,,,1.0,3,0.8975515365600586,0.29951295256614685,0.9415517449378967,0.8975515365600586,0.14463703334331512,0.29951295256614685,0.044000208377838135,False,,5800,1552,17,4
baseline_seed7,Same config with different seed to show seed sensitivity while staying reproducible.,7,42,20,20,"[128, 64]",0.0,0.0,adam,0.001,256,0.0,none,,,1.0,4,0.8930412530899048,0.3092499077320099,0.9474138021469116,0.8930412530899048,0.11983592808246613,0.3092499077320099,0.054372549057006836,False,,5800,1552,17,4
overfit_bad,Intentional overfitting oversized MLP + long training + reduced fit subset,123,42,120,120,"[1024, 512, 256]",0.0,0.0,adam,0.001,256,0.0,none,,,0.1,17,0.8247422575950623,0.7361396551132202,1.0,0.7371134161949158,6.730850145686418e-05,2.2939977645874023,0.26288658380508423,False,,580,1552,17,4
overfit_fixed,Overfitting fix weight decay + early stopping only,123,42,120,29,"[1024, 512, 256]",0.0,0.0001,adam,0.001,256,0.0,none,12.0,,0.1,17,0.8311855792999268,0.7146754860877991,0.9620689749717712,0.8311855792999268,0.059166066348552704,0.7146754860877991,0.13088339567184448,True,,580,1552,17,4
underfit_bad,Intentional severe underfitting tiny model + 3 epochs + very low LR,314,42,3,3,[16],0.0,0.01,adam,1e-05,256,0.0,none,,,1.0,3,0.3685567080974579,1.642306923866272,0.37672412395477295,0.3685567080974579,1.657006025314331,1.642306923866272,0.008167415857315063,False,,5800,1552,17,4
underfit_fixed,Underfitting fix larger MLP + higher LR only,314,42,3,3,"[256, 128]",0.0,0.01,adam,0.001,256,0.0,none,,,1.0,2,0.8936855792999268,0.30628225207328796,0.9291379451751709,0.8936855792999268,0.17866475880146027,0.30628225207328796,0.03545236587524414,False,,5800,1552,17,4
